name,price,description,category,consola,imageUrl
"The Last of Us Part II",59.99,"Embark on an intense journey in this acclaimed action-adventure game.","Singleplayer","PS","https://m.media-amazon.com/images/I/81jdepruImL.jpg"
"Super Mario Odyssey",49.99,"Join Mario in a new adventure to save Princess Peach.","Singleplayer","Switch","https://m.media-amazon.com/images/I/91-VfRp-i0L.jpg"
"Halo Infinite",59.99,"Fight against the Banished as Master Chief.","Multiplayer","Xbox","https://store-images.s-microsoft.com/image/apps.21536.13727851868390641.c9cc5f66-aff8-406c-af6b-440838730be0.68796bde-cbf5-4eaa-a299-011417041da6"
"Cyberpunk 2077",39.99,"Explore Night City in this futuristic open-world RPG.","Singleplayer","PC","https://image.api.playstation.com/vulcan/ap/rnd/202008/0416/6Bo40lnWU0BhgrOUm7Cb6by3.png"
"Spider-Man: Miles Morales",49.99,"Swing into action as Miles Morales in New York.","Singleplayer","PS","https://m.media-amazon.com/images/I/71K4AqkJibL._AC_UF894,1000_QL80_.jpg"
"Animal Crossing: New Horizons",59.99,"Create your dream island life in this relaxing simulation game.","Cooperative","Switch","https://m.media-amazon.com/images/I/81s8etnYPrL._AC_UF894,1000_QL80_.jpg"
"FIFA 23",69.99,"The latest installment of the popular football simulation game.","Multiplayer","PS","https://media.vandal.net/m/122945/fifa-23-202210612192557_1.jpg"
"Red Dead Redemption 2",49.99,"Experience life in the American frontier in this Western tale.","Singleplayer","PC","https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA08519_00/12/i_3da1cf7c41dc7652f9b639e1680d96436773658668c7dc3930c441291095713b/i/icon0.png"
"Forza Horizon 5",59.99,"Race across stunning landscapes in this open-world driving game.","Multiplayer","Xbox","https://m.media-amazon.com/images/I/81E64yJ6k8L._AC_UF894,1000_QL80_.jpg"
"Legend of Zelda: Breath of the Wild",59.99,"Explore the vast world of Hyrule in this critically acclaimed game.","Singleplayer","Switch","https://m.media-amazon.com/images/I/81U-DS7w+CL.jpg"
